site,flux,r2,rmse,n_months
CA-Qfo,NEE,0.5828,0.3874,78
CA-Qfo,LE,0.9169,29.0244,83
CA-Qfo,H,0.5323,26.8802,81
CH-Dav,NEE,nan,nan,0
CH-Dav,LE,0.6419,24.9171,140
CH-Dav,H,0.4782,15.6633,146
DE-Gri,NEE,0.3867,1.1702,93
DE-Gri,LE,0.8715,26.6284,129
DE-Gri,H,0.6555,13.7931,130
DE-Hai,NEE,nan,nan,0
DE-Hai,LE,0.8688,11.4444,86
DE-Hai,H,0.5686,19.3530,120
DE-Tha,NEE,0.8076,1.4126,157
DE-Tha,LE,0.8287,20.5029,203
DE-Tha,H,0.7033,18.3981,201
DK-Sor,NEE,0.8496,1.8463,201
DK-Sor,LE,0.9067,11.1012,116
DK-Sor,H,0.5981,28.8314,118
FI-Hyy,NEE,0.7699,0.6852,132
FI-Hyy,LE,0.8785,17.5396,70
FI-Hyy,H,0.8039,16.3395,71
FR-Pue,NEE,0.5274,1.0251,107
FR-Pue,LE,0.6985,22.3385,88
FR-Pue,H,0.8512,18.4253,87
IT-Lav,NEE,nan,nan,0
IT-Lav,LE,0.7566,22.4025,80
IT-Lav,H,0.8592,47.8240,98
IT-MBo,NEE,0.4422,1.6773,36
IT-MBo,LE,0.9186,15.0593,81
IT-MBo,H,0.7735,21.9699,92
IT-Noe,NEE,0.6725,1.5133,24
IT-Noe,LE,0.7614,16.8432,76
IT-Noe,H,0.9287,17.0067,80
NL-Loo,NEE,0.7007,1.0949,101
NL-Loo,LE,0.7866,16.0987,178
NL-Loo,H,0.7924,24.2350,182
RU-Fyo,NEE,0.3892,0.8859,83
RU-Fyo,LE,0.8380,13.5697,132
RU-Fyo,H,0.7516,19.2086,134
US-MMS,NEE,0.2353,1.0856,92
US-MMS,LE,0.8240,26.0723,183
US-MMS,H,0.0021,23.6718,182
US-NR1,NEE,0.5846,0.6486,110
US-NR1,LE,0.7034,15.5654,187
US-NR1,H,0.3963,28.3664,187
US-SRG,NEE,0.4024,0.6050,61
US-SRG,LE,0.8333,9.7601,72
US-SRG,H,0.8882,17.2144,72
US-SRM,NEE,0.0354,0.4909,52
US-SRM,LE,0.8520,8.2600,132
US-SRM,H,0.8436,16.4136,132
US-Ton,NEE,nan,nan,0
US-Ton,LE,0.6938,15.2416,159
US-Ton,H,0.9196,17.9393,161
US-Var,NEE,nan,nan,0
US-Var,LE,0.8578,16.5726,166
US-Var,H,0.8993,30.7894,166
US-Whs,NEE,0.1864,0.3309,43
US-Whs,LE,0.8934,7.4060,84
US-Whs,H,0.8840,17.4334,84
US-Wkg,NEE,0.2045,0.2713,22
US-Wkg,LE,0.8916,7.5007,120
US-Wkg,H,0.8442,16.4186,120
