site,flux,r2,rmse,n_months
CA-Qfo,NEE,0.4774,0.8502,78
CA-Qfo,LE,0.9213,30.9126,83
CA-Qfo,H,0.6185,27.2489,81
CH-Dav,NEE,nan,nan,0
CH-Dav,LE,0.6350,26.3707,140
CH-Dav,H,0.5326,14.7322,146
DE-Gri,NEE,0.2938,1.9865,93
DE-Gri,LE,0.8721,31.4815,129
DE-Gri,H,0.6304,11.9124,130
DE-Hai,NEE,nan,nan,0
DE-Hai,LE,0.8857,12.8215,86
DE-Hai,H,0.6447,17.9883,120
DE-Tha,NEE,0.8372,0.7629,157
DE-Tha,LE,0.8287,24.2907,203
DE-Tha,H,0.7249,20.0767,201
DK-Sor,NEE,0.8786,1.3013,201
DK-Sor,LE,0.9158,12.5416,116
DK-Sor,H,0.6656,26.3890,118
FI-Hyy,NEE,0.6962,0.7900,132
FI-Hyy,LE,0.8904,19.2908,70
FI-Hyy,H,0.8371,16.2321,71
FR-Pue,NEE,0.4528,0.8650,107
FR-Pue,LE,0.7010,26.9262,88
FR-Pue,H,0.8331,17.3624,87
IT-Lav,NEE,nan,nan,0
IT-Lav,LE,0.7506,24.1992,80
IT-Lav,H,0.8732,50.1717,98
IT-MBo,NEE,0.2862,1.9342,36
IT-MBo,LE,0.9127,17.2778,81
IT-MBo,H,0.7732,20.2634,92
IT-Noe,NEE,0.4698,1.3176,24
IT-Noe,LE,0.6356,18.8035,76
IT-Noe,H,0.9285,18.3675,80
NL-Loo,NEE,0.6483,0.9010,101
NL-Loo,LE,0.8107,18.3604,178
NL-Loo,H,0.7978,22.6551,182
RU-Fyo,NEE,0.2107,1.3028,83
RU-Fyo,LE,0.8279,15.6727,132
RU-Fyo,H,0.8035,19.1029,134
US-MMS,NEE,0.3289,1.4932,92
US-MMS,LE,0.8739,29.6245,183
US-MMS,H,0.0372,19.3882,182
US-NR1,NEE,0.5120,0.5969,110
US-NR1,LE,0.7216,14.8891,187
US-NR1,H,0.4127,28.0295,187
US-SRG,NEE,0.1001,0.7014,61
US-SRG,LE,0.8140,11.9945,72
US-SRG,H,0.8883,13.4728,72
US-SRM,NEE,0.0395,0.6464,52
US-SRM,LE,0.8673,10.4407,132
US-SRM,H,0.8494,13.4939,132
US-Ton,NEE,nan,nan,0
US-Ton,LE,0.7889,16.7851,159
US-Ton,H,0.9095,14.5481,161
US-Var,NEE,nan,nan,0
US-Var,LE,0.5822,23.0076,166
US-Var,H,0.8438,26.8569,166
US-Whs,NEE,0.1033,0.4658,43
US-Whs,LE,0.8745,9.3572,84
US-Whs,H,0.8739,15.7409,84
US-Wkg,NEE,0.1695,0.3964,22
US-Wkg,LE,0.8857,9.8076,120
US-Wkg,H,0.8375,14.8356,120
