site	biome	C_sugar	C_leaf	C_stem	C_root	D_annual
amazon_central	-	0.1841	0.46571	11.52907	0.68292	0.00761
congo_basin	-	0.2224	0.59419	12.62833	1.00603	0.00019
borneo	-	0.22667	0.67807	17.39829	0.94595	0.0
sahel	-	2.0e-5	0.00013	2.0e-5	0.00032	0.91081
cerrado_brazil	-	0.17258	0.41462	6.65963	0.87498	0.42071
n_australia_savanna	-	0.05327	0.19105	0.36446	0.52042	0.80251
sahara	-	0.0	0.0	0.0	0.0	1.15199
arabian	-	0.0	0.0	0.0	0.0	1.16648
mojave_sw_us	-	0.0	0.0	0.0	0.0	1.03763
ozark_us	-	0.11107	0.44128	6.51532	0.84284	0.11022
central_europe	-	0.08	0.3957	4.18634	0.86306	0.19857
ne_china	-	0.07376	0.30228	1.86114	0.75906	0.44086
us_great_plains	-	0.08907	0.3314	2.53218	0.81422	0.41247
pampas_argentina	-	0.15906	0.34772	2.54902	0.88153	0.46978
california_vaira	-	0.03638	0.25811	0.40686	0.72024	0.70979
iberia	-	0.03358	0.22465	0.50722	0.61151	0.56428
central_siberia	-	0.03688	0.12814	1.12819	0.32953	0.3798
canada_boreal	-	0.05414	0.19605	1.98278	0.48182	0.37116
fennoscandia	-	0.056	0.21952	2.97113	0.4833	0.19692
alaska_north_slope	-	0.02822	0.0563	1.22001	0.13674	0.33018
taymyr_siberia	-	0.01314	0.03981	0.33463	0.10678	0.4493
canadian_arctic	-	0.01479	0.04256	0.38659	0.11235	0.41886
iceland	-	0.05984	0.21816	5.03443	0.42768	0.05119
alaska_interior_bog	-	0.03145	0.12893	0.71711	0.3409	0.4994
hudson_bay_lowland	-	0.04195	0.11319	2.01219	0.25468	0.16983
mongolian_steppe	-	0.00713	0.05181	0.04269	0.1403	0.62265
kazakh_steppe	-	0.01609	0.11469	0.14398	0.30974	0.60614
tibetan_plateau	-	0.06818	0.22127	2.89445	0.55068	0.35115
patagonian_steppe	-	0.03104	0.07346	0.02809	0.20555	0.69929
west_siberian_steppe	-	0.05282	0.21564	1.49885	0.55027	0.39338
